Results for main.py
--------------------------------------------------------------------------------
SSIM: 0.427192 | Omega: 0.99 | Scales: (2.0, 8.0, 9.0, 10.0) | Freqs: (0.5, 1.0, 2.5, 3.5, 4.0)
SSIM: 0.427228 | Omega: 0.99 | Scales: (2.0, 8.0, 9.0, 10.0) | Freqs: (0.5, 1.0, 2.5, 3.5, 5.0)
SSIM: 0.427207 | Omega: 0.99 | Scales: (2.0, 8.0, 9.0, 10.0) | Freqs: (0.5, 1.0, 2.5, 3.5, 6.0)
SSIM: 0.427239 | Omega: 0.99 | Scales: (2.0, 8.0, 9.0, 10.0) | Freqs: (0.5, 1.0, 2.5, 3.5, 6.5)
SSIM: 0.427236 | Omega: 0.99 | Scales: (2.0, 8.0, 9.0, 10.0) | Freqs: (0.5, 1.0, 2.5, 3.5, 7.5)
SSIM: 0.427164 | Omega: 0.99 | Scales: (2.0, 8.0, 9.0, 10.0) | Freqs: (0.5, 1.0, 2.5, 4.0, 5.0)
SSIM: 0.427164 | Omega: 0.99 | Scales: (2.0, 8.0, 9.0, 10.0) | Freqs: (0.5, 1.0, 2.5, 4.0, 6.0)
SSIM: 0.427192 | Omega: 0.99 | Scales: (2.0, 8.0, 9.0, 10.0) | Freqs: (0.5, 1.0, 2.5, 4.0, 6.5)
SSIM: 0.427167 | Omega: 0.99 | Scales: (2.0, 8.0, 9.0, 10.0) | Freqs: (0.5, 1.0, 2.5, 4.0, 7.5)
SSIM: 0.427184 | Omega: 0.99 | Scales: (2.0, 8.0, 9.0, 10.0) | Freqs: (0.5, 1.0, 2.5, 5.0, 6.0)
SSIM: 0.427215 | Omega: 0.99 | Scales: (2.0, 8.0, 9.0, 10.0) | Freqs: (0.5, 1.0, 2.5, 5.0, 6.5)
SSIM: 0.427203 | Omega: 0.99 | Scales: (2.0, 8.0, 9.0, 10.0) | Freqs: (0.5, 1.0, 2.5, 5.0, 7.5)
SSIM: 0.427198 | Omega: 0.99 | Scales: (2.0, 8.0, 9.0, 10.0) | Freqs: (0.5, 1.0, 2.5, 6.0, 6.5)
SSIM: 0.427187 | Omega: 0.99 | Scales: (2.0, 8.0, 9.0, 10.0) | Freqs: (0.5, 1.0, 2.5, 6.0, 7.5)
SSIM: 0.427219 | Omega: 0.99 | Scales: (2.0, 8.0, 9.0, 10.0) | Freqs: (0.5, 1.0, 2.5, 6.5, 7.5)
SSIM: 0.427159 | Omega: 0.99 | Scales: (2.0, 8.0, 9.0, 10.0) | Freqs: (0.5, 1.0, 3.5, 4.0, 5.0)
SSIM: 0.427146 | Omega: 0.99 | Scales: (2.0, 8.0, 9.0, 10.0) | Freqs: (0.5, 1.0, 3.5, 4.0, 6.0)
SSIM: 0.427201 | Omega: 0.99 | Scales: (2.0, 8.0, 9.0, 10.0) | Freqs: (0.5, 1.0, 3.5, 4.0, 6.5)
SSIM: 0.427192 | Omega: 0.99 | Scales: (2.0, 8.0, 9.0, 10.0) | Freqs: (0.5, 1.0, 3.5, 4.0, 7.5)
SSIM: 0.427181 | Omega: 0.99 | Scales: (2.0, 8.0, 9.0, 10.0) | Freqs: (0.5, 1.0, 3.5, 5.0, 6.0)
SSIM: 0.427221 | Omega: 0.99 | Scales: (2.0, 8.0, 9.0, 10.0) | Freqs: (0.5, 1.0, 3.5, 5.0, 6.5)
SSIM: 0.427211 | Omega: 0.99 | Scales: (2.0, 8.0, 9.0, 10.0) | Freqs: (0.5, 1.0, 3.5, 5.0, 7.5)
SSIM: 0.427226 | Omega: 0.99 | Scales: (2.0, 8.0, 9.0, 10.0) | Freqs: (0.5, 1.0, 3.5, 6.0, 6.5)
SSIM: 0.427217 | Omega: 0.99 | Scales: (2.0, 8.0, 9.0, 10.0) | Freqs: (0.5, 1.0, 3.5, 6.0, 7.5)
SSIM: 0.427220 | Omega: 0.99 | Scales: (2.0, 8.0, 9.0, 10.0) | Freqs: (0.5, 1.0, 3.5, 6.5, 7.5)
SSIM: 0.427119 | Omega: 0.99 | Scales: (2.0, 8.0, 9.0, 10.0) | Freqs: (0.5, 1.0, 4.0, 5.0, 6.0)
SSIM: 0.427154 | Omega: 0.99 | Scales: (2.0, 8.0, 9.0, 10.0) | Freqs: (0.5, 1.0, 4.0, 5.0, 6.5)
SSIM: 0.427154 | Omega: 0.99 | Scales: (2.0, 8.0, 9.0, 10.0) | Freqs: (0.5, 1.0, 4.0, 5.0, 7.5)
SSIM: 0.427154 | Omega: 0.99 | Scales: (2.0, 8.0, 9.0, 10.0) | Freqs: (0.5, 1.0, 4.0, 6.0, 6.5)
SSIM: 0.427144 | Omega: 0.99 | Scales: (2.0, 8.0, 9.0, 10.0) | Freqs: (0.5, 1.0, 4.0, 6.0, 7.5)
SSIM: 0.427159 | Omega: 0.99 | Scales: (2.0, 8.0, 9.0, 10.0) | Freqs: (0.5, 1.0, 4.0, 6.5, 7.5)
SSIM: 0.427177 | Omega: 0.99 | Scales: (2.0, 8.0, 9.0, 10.0) | Freqs: (0.5, 1.0, 5.0, 6.0, 6.5)
SSIM: 0.427169 | Omega: 0.99 | Scales: (2.0, 8.0, 9.0, 10.0) | Freqs: (0.5, 1.0, 5.0, 6.0, 7.5)
SSIM: 0.427200 | Omega: 0.99 | Scales: (2.0, 8.0, 9.0, 10.0) | Freqs: (0.5, 1.0, 5.0, 6.5, 7.5)
SSIM: 0.427204 | Omega: 0.99 | Scales: (2.0, 8.0, 9.0, 10.0) | Freqs: (0.5, 1.0, 6.0, 6.5, 7.5)
SSIM: 0.424928 | Omega: 0.99 | Scales: (2.0, 8.0, 9.0, 10.0) | Freqs: (0.5, 2.5, 3.5, 4.0, 5.0)
SSIM: 0.424120 | Omega: 0.99 | Scales: (2.0, 8.0, 9.0, 10.0) | Freqs: (0.5, 2.5, 3.5, 4.0, 6.0)
SSIM: 0.418044 | Omega: 0.99 | Scales: (2.0, 8.0, 9.0, 10.0) | Freqs: (0.5, 2.5, 3.5, 4.0, 6.5)
SSIM: 0.418160 | Omega: 0.99 | Scales: (2.0, 8.0, 9.0, 10.0) | Freqs: (0.5, 2.5, 3.5, 4.0, 7.5)
SSIM: 0.422509 | Omega: 0.99 | Scales: (2.0, 8.0, 9.0, 10.0) | Freqs: (0.5, 2.5, 3.5, 5.0, 6.0)
SSIM: 0.410210 | Omega: 0.99 | Scales: (2.0, 8.0, 9.0, 10.0) | Freqs: (0.5, 2.5, 3.5, 5.0, 6.5)
SSIM: 0.410434 | Omega: 0.99 | Scales: (2.0, 8.0, 9.0, 10.0) | Freqs: (0.5, 2.5, 3.5, 5.0, 7.5)
SSIM: 0.399453 | Omega: 0.99 | Scales: (2.0, 8.0, 9.0, 10.0) | Freqs: (0.5, 2.5, 3.5, 6.0, 6.5)
SSIM: 0.399760 | Omega: 0.99 | Scales: (2.0, 8.0, 9.0, 10.0) | Freqs: (0.5, 2.5, 3.5, 6.0, 7.5)
