Ordered Results (Decr. SSIM) for main.py
--------------------------------------------------------------------------------
SSIM: 0.427192 | Omega: 0.99 | Scales: (2.0, 8.0, 9.0, 10.0) | Freqs: (0.5, 1.0, 2.5, 3.5, 4.0)
SSIM: 0.427171 | Omega: 0.99 | Scales: (2.0, 8.0, 9.0, 10.0) | Freqs: (0.5, 1.0, 2.0, 2.5, 3.5)
SSIM: 0.427163 | Omega: 0.99 | Scales: (2.0, 8.0, 9.0, 10.0) | Freqs: (0.5, 1.0, 2.5, 3.0, 3.5)
SSIM: 0.427157 | Omega: 0.99 | Scales: (2.0, 8.0, 9.0, 10.0) | Freqs: (0.5, 2.0, 3.0, 3.5, 4.0)
SSIM: 0.427148 | Omega: 0.99 | Scales: (2.0, 8.0, 9.0, 10.0) | Freqs: (0.5, 1.0, 2.0, 2.5, 4.0)
SSIM: 0.427134 | Omega: 0.99 | Scales: (2.0, 8.0, 9.0, 10.0) | Freqs: (0.5, 1.0, 2.0, 3.5, 4.0)
SSIM: 0.427121 | Omega: 0.99 | Scales: (2.0, 8.0, 9.0, 10.0) | Freqs: (0.5, 2.0, 2.5, 3.0, 4.0)
SSIM: 0.427117 | Omega: 0.99 | Scales: (2.0, 8.0, 9.0, 10.0) | Freqs: (0.5, 1.0, 2.0, 3.0, 3.5)
SSIM: 0.427111 | Omega: 0.99 | Scales: (2.0, 8.0, 9.0, 10.0) | Freqs: (0.5, 1.0, 3.0, 3.5, 4.0)
SSIM: 0.427103 | Omega: 0.99 | Scales: (2.0, 8.0, 9.0, 10.0) | Freqs: (0.5, 1.0, 2.5, 3.0, 4.0)
SSIM: 0.427102 | Omega: 0.99 | Scales: (2.0, 8.0, 9.0, 10.0) | Freqs: (0.5, 1.0, 2.0, 2.5, 3.0)
SSIM: 0.427073 | Omega: 0.99 | Scales: (2.0, 8.0, 9.0, 10.0) | Freqs: (0.5, 1.0, 2.0, 3.0, 4.0)
SSIM: 0.427012 | Omega: 0.99 | Scales: (2.0, 8.0, 9.0, 10.0) | Freqs: (0.5, 2.0, 2.5, 3.0, 3.5)
SSIM: 0.427003 | Omega: 0.99 | Scales: (2.0, 8.0, 9.0, 10.0) | Freqs: (0.5, 2.0, 2.5, 3.5, 4.0)
SSIM: 0.426887 | Omega: 0.99 | Scales: (2.0, 8.0, 9.0, 10.0) | Freqs: (1.0, 2.0, 2.5, 3.5, 4.0)
SSIM: 0.426855 | Omega: 0.99 | Scales: (2.0, 8.0, 9.0, 10.0) | Freqs: (1.0, 2.0, 2.5, 3.0, 3.5)
SSIM: 0.426850 | Omega: 0.99 | Scales: (2.0, 8.0, 9.0, 10.0) | Freqs: (1.0, 2.5, 3.0, 3.5, 4.0)
