Ordered Results (Decr. SSIM) for main.py
--------------------------------------------------------------------------------
SSIM: 0.411753 | Omega: 0.75 | Scales: (1.0, 2.0, 4.0, 5.0) | Freqs: (0.5, 1.0, 1.5, 2.0, 1.2)
SSIM: 0.411064 | Omega: 0.75 | Scales: (1.0, 2.0, 3.0, 5.0) | Freqs: (0.5, 1.0, 1.5, 2.0, 1.2)
SSIM: 0.410442 | Omega: 0.7 | Scales: (1.0, 3.0, 4.0, 5.0) | Freqs: (0.5, 1.0, 1.5, 2.0, 1.2)
SSIM: 0.410360 | Omega: 0.7 | Scales: (1.0, 2.0, 4.0, 5.0) | Freqs: (0.5, 1.0, 1.5, 2.0, 1.2)
SSIM: 0.410345 | Omega: 0.7 | Scales: (2.0, 3.0, 4.0, 5.0) | Freqs: (0.5, 1.0, 1.5, 2.0, 1.2)
SSIM: 0.409720 | Omega: 0.7 | Scales: (1.0, 2.0, 3.0, 5.0) | Freqs: (0.5, 1.0, 1.5, 2.0, 1.2)
SSIM: 0.409489 | Omega: 0.75 | Scales: (1.0, 2.0, 3.0, 4.0) | Freqs: (0.5, 1.0, 1.5, 2.0, 1.2)
SSIM: 0.407980 | Omega: 0.7 | Scales: (1.0, 2.0, 3.0, 4.0) | Freqs: (0.5, 1.0, 1.5, 2.0, 1.2)
SSIM: 0.402681 | Omega: 0.75 | Scales: (1.0, 2.0, 3.0, 5.0) | Freqs: (0.1, 0.5, 1.0, 2.0, 1.2)
SSIM: 0.402341 | Omega: 0.75 | Scales: (1.0, 2.0, 3.0, 5.0) | Freqs: (0.1, 0.5, 1.0, 1.5, 2.0)
SSIM: 0.402127 | Omega: 0.75 | Scales: (1.0, 2.0, 4.0, 5.0) | Freqs: (0.1, 0.5, 1.0, 2.0, 1.2)
SSIM: 0.401628 | Omega: 0.75 | Scales: (1.0, 2.0, 3.0, 4.0) | Freqs: (0.1, 0.5, 1.0, 1.5, 2.0)
SSIM: 0.401515 | Omega: 0.75 | Scales: (1.0, 2.0, 4.0, 5.0) | Freqs: (0.1, 0.5, 1.0, 1.5, 2.0)
SSIM: 0.401502 | Omega: 0.75 | Scales: (1.0, 2.0, 3.0, 4.0) | Freqs: (0.1, 0.5, 1.0, 2.0, 1.2)
SSIM: 0.401412 | Omega: 0.75 | Scales: (1.0, 2.0, 3.0, 5.0) | Freqs: (0.1, 1.0, 1.5, 2.0, 1.2)
SSIM: 0.401348 | Omega: 0.75 | Scales: (1.0, 3.0, 4.0, 5.0) | Freqs: (0.1, 0.5, 1.0, 1.5, 2.0)
SSIM: 0.401254 | Omega: 0.7 | Scales: (2.0, 3.0, 4.0, 5.0) | Freqs: (0.1, 0.5, 1.0, 2.0, 1.2)
SSIM: 0.401094 | Omega: 0.7 | Scales: (1.0, 2.0, 3.0, 5.0) | Freqs: (0.1, 0.5, 1.0, 2.0, 1.2)
SSIM: 0.400769 | Omega: 0.7 | Scales: (1.0, 2.0, 3.0, 5.0) | Freqs: (0.1, 0.5, 1.0, 1.5, 2.0)
SSIM: 0.400688 | Omega: 0.7 | Scales: (2.0, 3.0, 4.0, 5.0) | Freqs: (0.1, 0.5, 1.0, 1.5, 2.0)
SSIM: 0.400659 | Omega: 0.75 | Scales: (1.0, 2.0, 3.0, 4.0) | Freqs: (0.1, 1.0, 1.5, 2.0, 1.2)
SSIM: 0.400633 | Omega: 0.7 | Scales: (1.0, 2.0, 4.0, 5.0) | Freqs: (0.1, 0.5, 1.0, 2.0, 1.2)
SSIM: 0.400605 | Omega: 0.75 | Scales: (1.0, 2.0, 4.0, 5.0) | Freqs: (0.1, 1.0, 1.5, 2.0, 1.2)
SSIM: 0.400483 | Omega: 0.7 | Scales: (1.0, 3.0, 4.0, 5.0) | Freqs: (0.1, 0.5, 1.0, 2.0, 1.2)
SSIM: 0.399953 | Omega: 0.7 | Scales: (1.0, 2.0, 4.0, 5.0) | Freqs: (0.1, 0.5, 1.0, 1.5, 2.0)
SSIM: 0.399948 | Omega: 0.7 | Scales: (1.0, 2.0, 3.0, 4.0) | Freqs: (0.1, 0.5, 1.0, 1.5, 2.0)
SSIM: 0.399872 | Omega: 0.7 | Scales: (1.0, 2.0, 3.0, 5.0) | Freqs: (0.1, 1.0, 1.5, 2.0, 1.2)
SSIM: 0.399842 | Omega: 0.7 | Scales: (1.0, 3.0, 4.0, 5.0) | Freqs: (0.1, 0.5, 1.0, 1.5, 2.0)
SSIM: 0.399745 | Omega: 0.7 | Scales: (1.0, 2.0, 3.0, 4.0) | Freqs: (0.1, 0.5, 1.0, 2.0, 1.2)
SSIM: 0.399725 | Omega: 0.7 | Scales: (2.0, 3.0, 4.0, 5.0) | Freqs: (0.1, 1.0, 1.5, 2.0, 1.2)
SSIM: 0.399084 | Omega: 0.7 | Scales: (1.0, 2.0, 4.0, 5.0) | Freqs: (0.1, 1.0, 1.5, 2.0, 1.2)
SSIM: 0.398920 | Omega: 0.7 | Scales: (1.0, 2.0, 3.0, 4.0) | Freqs: (0.1, 1.0, 1.5, 2.0, 1.2)
SSIM: 0.398896 | Omega: 0.7 | Scales: (1.0, 3.0, 4.0, 5.0) | Freqs: (0.1, 1.0, 1.5, 2.0, 1.2)
SSIM: 0.397646 | Omega: 0.75 | Scales: (1.0, 2.0, 3.0, 5.0) | Freqs: (0.1, 0.5, 1.0, 1.5, 1.2)
SSIM: 0.397610 | Omega: 0.75 | Scales: (1.0, 2.0, 3.0, 4.0) | Freqs: (0.1, 0.5, 1.0, 1.5, 1.2)
SSIM: 0.395970 | Omega: 0.7 | Scales: (1.0, 2.0, 3.0, 5.0) | Freqs: (0.1, 0.5, 1.0, 1.5, 1.2)
SSIM: 0.395800 | Omega: 0.7 | Scales: (1.0, 2.0, 3.0, 4.0) | Freqs: (0.1, 0.5, 1.0, 1.5, 1.2)
SSIM: 0.395595 | Omega: 0.75 | Scales: (1.0, 2.0, 4.0, 5.0) | Freqs: (0.1, 0.5, 1.0, 1.5, 1.2)
SSIM: 0.395256 | Omega: 0.7 | Scales: (2.0, 3.0, 4.0, 5.0) | Freqs: (0.1, 0.5, 1.0, 1.5, 1.2)
SSIM: 0.395056 | Omega: 0.75 | Scales: (1.0, 3.0, 4.0, 5.0) | Freqs: (0.1, 0.5, 1.0, 1.5, 1.2)
SSIM: 0.394011 | Omega: 0.7 | Scales: (1.0, 2.0, 4.0, 5.0) | Freqs: (0.1, 0.5, 1.0, 1.5, 1.2)
SSIM: 0.393480 | Omega: 0.7 | Scales: (1.0, 3.0, 4.0, 5.0) | Freqs: (0.1, 0.5, 1.0, 1.5, 1.2)
SSIM: 0.389551 | Omega: 0.75 | Scales: (1.0, 2.0, 3.0, 4.0) | Freqs: (0.1, 0.5, 1.5, 2.0, 1.2)
SSIM: 0.387683 | Omega: 0.7 | Scales: (1.0, 2.0, 3.0, 4.0) | Freqs: (0.1, 0.5, 1.5, 2.0, 1.2)
SSIM: 0.386195 | Omega: 0.75 | Scales: (1.0, 2.0, 3.0, 5.0) | Freqs: (0.1, 0.5, 1.5, 2.0, 1.2)
SSIM: 0.384395 | Omega: 0.7 | Scales: (1.0, 2.0, 3.0, 5.0) | Freqs: (0.1, 0.5, 1.5, 2.0, 1.2)
SSIM: 0.380355 | Omega: 0.7 | Scales: (2.0, 3.0, 4.0, 5.0) | Freqs: (0.1, 0.5, 1.5, 2.0, 1.2)
SSIM: 0.379349 | Omega: 0.75 | Scales: (1.0, 2.0, 4.0, 5.0) | Freqs: (0.1, 0.5, 1.5, 2.0, 1.2)
