Ordered Results (Decr. SSIM) for main.py
--------------------------------------------------------------------------------
SSIM: 0.417800 | Omega: 0.9 | Scales: (1.0, 3.0, 4.0, 5.0) | Freqs: (0.5, 1.0, 1.5, 2.0, 1.2)
SSIM: 0.417665 | Omega: 0.9 | Scales: (2.0, 3.0, 4.0, 5.0) | Freqs: (0.5, 1.0, 1.5, 2.0, 1.2)
SSIM: 0.417627 | Omega: 0.9 | Scales: (1.0, 2.0, 4.0, 5.0) | Freqs: (0.5, 1.0, 1.5, 2.0, 1.2)
SSIM: 0.417267 | Omega: 0.9 | Scales: (1.0, 2.0, 3.0, 5.0) | Freqs: (0.5, 1.0, 1.5, 2.0, 1.2)
SSIM: 0.415838 | Omega: 0.9 | Scales: (1.0, 2.0, 3.0, 4.0) | Freqs: (0.5, 1.0, 1.5, 2.0, 1.2)
SSIM: 0.415336 | Omega: 0.85 | Scales: (1.0, 3.0, 4.0, 5.0) | Freqs: (0.5, 1.0, 1.5, 2.0, 1.2)
SSIM: 0.415266 | Omega: 0.85 | Scales: (2.0, 3.0, 4.0, 5.0) | Freqs: (0.5, 1.0, 1.5, 2.0, 1.2)
SSIM: 0.415249 | Omega: 0.85 | Scales: (1.0, 2.0, 4.0, 5.0) | Freqs: (0.5, 1.0, 1.5, 2.0, 1.2)
SSIM: 0.414774 | Omega: 0.85 | Scales: (1.0, 2.0, 3.0, 5.0) | Freqs: (0.5, 1.0, 1.5, 2.0, 1.2)
SSIM: 0.413389 | Omega: 0.8 | Scales: (1.0, 3.0, 4.0, 5.0) | Freqs: (0.5, 1.0, 1.5, 2.0, 1.2)
SSIM: 0.413300 | Omega: 0.85 | Scales: (1.0, 2.0, 3.0, 4.0) | Freqs: (0.5, 1.0, 1.5, 2.0, 1.2)
SSIM: 0.413300 | Omega: 0.8 | Scales: (1.0, 2.0, 4.0, 5.0) | Freqs: (0.5, 1.0, 1.5, 2.0, 1.2)
SSIM: 0.413288 | Omega: 0.8 | Scales: (2.0, 3.0, 4.0, 5.0) | Freqs: (0.5, 1.0, 1.5, 2.0, 1.2)
SSIM: 0.412737 | Omega: 0.8 | Scales: (1.0, 2.0, 3.0, 5.0) | Freqs: (0.5, 1.0, 1.5, 2.0, 1.2)
SSIM: 0.411229 | Omega: 0.8 | Scales: (1.0, 2.0, 3.0, 4.0) | Freqs: (0.5, 1.0, 1.5, 2.0, 1.2)
SSIM: 0.409643 | Omega: 0.9 | Scales: (1.0, 2.0, 3.0, 5.0) | Freqs: (0.1, 0.5, 1.0, 2.0, 1.2)
SSIM: 0.409550 | Omega: 0.9 | Scales: (2.0, 3.0, 4.0, 5.0) | Freqs: (0.1, 0.5, 1.0, 2.0, 1.2)
SSIM: 0.409282 | Omega: 0.9 | Scales: (1.0, 2.0, 3.0, 5.0) | Freqs: (0.1, 0.5, 1.0, 1.5, 2.0)
SSIM: 0.409103 | Omega: 0.9 | Scales: (1.0, 2.0, 4.0, 5.0) | Freqs: (0.1, 0.5, 1.0, 2.0, 1.2)
SSIM: 0.409078 | Omega: 0.9 | Scales: (2.0, 3.0, 4.0, 5.0) | Freqs: (0.1, 0.5, 1.0, 1.5, 2.0)
SSIM: 0.408913 | Omega: 0.9 | Scales: (1.0, 3.0, 4.0, 5.0) | Freqs: (0.1, 0.5, 1.0, 2.0, 1.2)
SSIM: 0.408705 | Omega: 0.9 | Scales: (1.0, 2.0, 3.0, 4.0) | Freqs: (0.1, 0.5, 1.0, 1.5, 2.0)
SSIM: 0.408637 | Omega: 0.9 | Scales: (1.0, 2.0, 3.0, 4.0) | Freqs: (0.1, 0.5, 1.0, 2.0, 1.2)
SSIM: 0.408601 | Omega: 0.9 | Scales: (1.0, 2.0, 3.0, 5.0) | Freqs: (0.1, 1.0, 1.5, 2.0, 1.2)
SSIM: 0.408478 | Omega: 0.9 | Scales: (1.0, 2.0, 4.0, 5.0) | Freqs: (0.1, 0.5, 1.0, 1.5, 2.0)
SSIM: 0.408289 | Omega: 0.9 | Scales: (1.0, 3.0, 4.0, 5.0) | Freqs: (0.1, 0.5, 1.0, 1.5, 2.0)
SSIM: 0.408193 | Omega: 0.9 | Scales: (2.0, 3.0, 4.0, 5.0) | Freqs: (0.1, 1.0, 1.5, 2.0, 1.2)
SSIM: 0.407824 | Omega: 0.9 | Scales: (1.0, 2.0, 3.0, 4.0) | Freqs: (0.1, 1.0, 1.5, 2.0, 1.2)
SSIM: 0.407739 | Omega: 0.9 | Scales: (1.0, 2.0, 4.0, 5.0) | Freqs: (0.1, 1.0, 1.5, 2.0, 1.2)
SSIM: 0.407463 | Omega: 0.9 | Scales: (1.0, 3.0, 4.0, 5.0) | Freqs: (0.1, 1.0, 1.5, 2.0, 1.2)
SSIM: 0.406826 | Omega: 0.85 | Scales: (1.0, 2.0, 3.0, 5.0) | Freqs: (0.1, 0.5, 1.0, 2.0, 1.2)
SSIM: 0.406729 | Omega: 0.85 | Scales: (2.0, 3.0, 4.0, 5.0) | Freqs: (0.1, 0.5, 1.0, 2.0, 1.2)
SSIM: 0.406423 | Omega: 0.85 | Scales: (1.0, 2.0, 3.0, 5.0) | Freqs: (0.1, 0.5, 1.0, 1.5, 2.0)
SSIM: 0.406215 | Omega: 0.85 | Scales: (2.0, 3.0, 4.0, 5.0) | Freqs: (0.1, 0.5, 1.0, 1.5, 2.0)
SSIM: 0.406205 | Omega: 0.85 | Scales: (1.0, 2.0, 4.0, 5.0) | Freqs: (0.1, 0.5, 1.0, 2.0, 1.2)
SSIM: 0.406011 | Omega: 0.85 | Scales: (1.0, 3.0, 4.0, 5.0) | Freqs: (0.1, 0.5, 1.0, 2.0, 1.2)
SSIM: 0.405811 | Omega: 0.85 | Scales: (1.0, 2.0, 3.0, 4.0) | Freqs: (0.1, 0.5, 1.0, 1.5, 2.0)
SSIM: 0.405765 | Omega: 0.85 | Scales: (1.0, 2.0, 3.0, 4.0) | Freqs: (0.1, 0.5, 1.0, 2.0, 1.2)
SSIM: 0.405578 | Omega: 0.85 | Scales: (1.0, 2.0, 3.0, 5.0) | Freqs: (0.1, 1.0, 1.5, 2.0, 1.2)
