Ordered Results (Decr. SSIM) for main.py
--------------------------------------------------------------------------------
SSIM: 0.426716 | Omega: 0.99 | Scales: (7.0, 8.0, 9.0, 10.0) | Freqs: (0.5, 1.0, 1.5, 2.0, 1.2)
SSIM: 0.426712 | Omega: 0.99 | Scales: (6.0, 8.0, 9.0, 10.0) | Freqs: (0.5, 1.0, 1.5, 2.0, 1.2)
SSIM: 0.426709 | Omega: 0.99 | Scales: (5.0, 8.0, 9.0, 10.0) | Freqs: (0.5, 1.0, 1.5, 2.0, 1.2)
SSIM: 0.426694 | Omega: 0.99 | Scales: (6.0, 7.0, 9.0, 10.0) | Freqs: (0.5, 1.0, 1.5, 2.0, 1.2)
SSIM: 0.426663 | Omega: 0.99 | Scales: (5.0, 7.0, 9.0, 10.0) | Freqs: (0.5, 1.0, 1.5, 2.0, 1.2)
SSIM: 0.426645 | Omega: 0.99 | Scales: (5.0, 6.0, 9.0, 10.0) | Freqs: (0.5, 1.0, 1.5, 2.0, 1.2)
SSIM: 0.426633 | Omega: 0.99 | Scales: (5.0, 7.0, 8.0, 10.0) | Freqs: (0.5, 1.0, 1.5, 2.0, 1.2)
SSIM: 0.426627 | Omega: 0.99 | Scales: (6.0, 7.0, 8.0, 10.0) | Freqs: (0.5, 1.0, 1.5, 2.0, 1.2)
SSIM: 0.426610 | Omega: 0.99 | Scales: (6.0, 7.0, 8.0, 9.0) | Freqs: (0.5, 1.0, 1.5, 2.0, 1.2)
SSIM: 0.426606 | Omega: 0.99 | Scales: (5.0, 7.0, 8.0, 9.0) | Freqs: (0.5, 1.0, 1.5, 2.0, 1.2)
SSIM: 0.426600 | Omega: 0.99 | Scales: (5.0, 6.0, 8.0, 10.0) | Freqs: (0.5, 1.0, 1.5, 2.0, 1.2)
SSIM: 0.426543 | Omega: 0.99 | Scales: (5.0, 6.0, 8.0, 9.0) | Freqs: (0.5, 1.0, 1.5, 2.0, 1.2)
SSIM: 0.426510 | Omega: 0.99 | Scales: (5.0, 6.0, 7.0, 10.0) | Freqs: (0.5, 1.0, 1.5, 2.0, 1.2)
SSIM: 0.426460 | Omega: 0.99 | Scales: (5.0, 6.0, 7.0, 9.0) | Freqs: (0.5, 1.0, 1.5, 2.0, 1.2)
SSIM: 0.426392 | Omega: 0.99 | Scales: (5.0, 6.0, 7.0, 8.0) | Freqs: (0.5, 1.0, 1.5, 2.0, 1.2)
