Ordered Results (Decr. SSIM) for main.py
--------------------------------------------------------------------------------
SSIM: 0.426768 | Omega: 0.99 | Scales: (2.0, 8.0, 9.0, 10.0) | Freqs: (0.5, 1.0, 1.5, 2.0, 1.2)
SSIM: 0.426728 | Omega: 0.99 | Scales: (3.0, 8.0, 9.0, 10.0) | Freqs: (0.5, 1.0, 1.5, 2.0, 1.2)
SSIM: 0.426721 | Omega: 0.99 | Scales: (3.0, 7.0, 9.0, 10.0) | Freqs: (0.5, 1.0, 1.5, 2.0, 1.2)
SSIM: 0.426700 | Omega: 0.99 | Scales: (2.0, 7.0, 8.0, 10.0) | Freqs: (0.5, 1.0, 1.5, 2.0, 1.2)
SSIM: 0.426699 | Omega: 0.99 | Scales: (2.0, 6.0, 9.0, 10.0) | Freqs: (0.5, 1.0, 1.5, 2.0, 1.2)
SSIM: 0.426681 | Omega: 0.99 | Scales: (2.0, 7.0, 9.0, 10.0) | Freqs: (0.5, 1.0, 1.5, 2.0, 1.2)
SSIM: 0.426655 | Omega: 0.99 | Scales: (3.0, 7.0, 8.0, 10.0) | Freqs: (0.5, 1.0, 1.5, 2.0, 1.2)
SSIM: 0.426639 | Omega: 0.99 | Scales: (3.0, 6.0, 9.0, 10.0) | Freqs: (0.5, 1.0, 1.5, 2.0, 1.2)
SSIM: 0.426633 | Omega: 0.99 | Scales: (2.0, 6.0, 8.0, 10.0) | Freqs: (0.5, 1.0, 1.5, 2.0, 1.2)
SSIM: 0.426632 | Omega: 0.99 | Scales: (2.0, 4.0, 9.0, 10.0) | Freqs: (0.5, 1.0, 1.5, 2.0, 1.2)
SSIM: 0.426629 | Omega: 0.99 | Scales: (3.0, 5.0, 9.0, 10.0) | Freqs: (0.5, 1.0, 1.5, 2.0, 1.2)
SSIM: 0.426626 | Omega: 0.99 | Scales: (3.0, 7.0, 8.0, 9.0) | Freqs: (0.5, 1.0, 1.5, 2.0, 1.2)
SSIM: 0.426624 | Omega: 0.99 | Scales: (2.0, 3.0, 8.0, 10.0) | Freqs: (0.5, 1.0, 1.5, 2.0, 1.2)
SSIM: 0.426611 | Omega: 0.99 | Scales: (2.0, 3.0, 9.0, 10.0) | Freqs: (0.5, 1.0, 1.5, 2.0, 1.2)
SSIM: 0.426611 | Omega: 0.99 | Scales: (2.0, 7.0, 8.0, 9.0) | Freqs: (0.5, 1.0, 1.5, 2.0, 1.2)
SSIM: 0.426608 | Omega: 0.99 | Scales: (2.0, 5.0, 9.0, 10.0) | Freqs: (0.5, 1.0, 1.5, 2.0, 1.2)
SSIM: 0.426608 | Omega: 0.99 | Scales: (3.0, 4.0, 9.0, 10.0) | Freqs: (0.5, 1.0, 1.5, 2.0, 1.2)
SSIM: 0.426607 | Omega: 0.99 | Scales: (2.0, 6.0, 8.0, 9.0) | Freqs: (0.5, 1.0, 1.5, 2.0, 1.2)
SSIM: 0.426600 | Omega: 0.99 | Scales: (3.0, 6.0, 8.0, 10.0) | Freqs: (0.5, 1.0, 1.5, 2.0, 1.2)
SSIM: 0.426597 | Omega: 0.99 | Scales: (2.0, 4.0, 8.0, 10.0) | Freqs: (0.5, 1.0, 1.5, 2.0, 1.2)
SSIM: 0.426590 | Omega: 0.99 | Scales: (2.0, 6.0, 7.0, 10.0) | Freqs: (0.5, 1.0, 1.5, 2.0, 1.2)
SSIM: 0.426572 | Omega: 0.99 | Scales: (2.0, 5.0, 8.0, 10.0) | Freqs: (0.5, 1.0, 1.5, 2.0, 1.2)
SSIM: 0.426567 | Omega: 0.99 | Scales: (3.0, 4.0, 8.0, 10.0) | Freqs: (0.5, 1.0, 1.5, 2.0, 1.2)
SSIM: 0.426561 | Omega: 0.99 | Scales: (3.0, 5.0, 8.0, 10.0) | Freqs: (0.5, 1.0, 1.5, 2.0, 1.2)
SSIM: 0.426544 | Omega: 0.99 | Scales: (4.0, 5.0, 8.0, 10.0) | Freqs: (0.5, 1.0, 1.5, 2.0, 1.2)
SSIM: 0.426540 | Omega: 0.99 | Scales: (3.0, 6.0, 7.0, 10.0) | Freqs: (0.5, 1.0, 1.5, 2.0, 1.2)
SSIM: 0.426537 | Omega: 0.99 | Scales: (3.0, 6.0, 8.0, 9.0) | Freqs: (0.5, 1.0, 1.5, 2.0, 1.2)
SSIM: 0.426527 | Omega: 0.99 | Scales: (2.0, 5.0, 8.0, 9.0) | Freqs: (0.5, 1.0, 1.5, 2.0, 1.2)
SSIM: 0.426517 | Omega: 0.99 | Scales: (2.0, 5.0, 7.0, 10.0) | Freqs: (0.5, 1.0, 1.5, 2.0, 1.2)
SSIM: 0.426510 | Omega: 0.99 | Scales: (3.0, 5.0, 8.0, 9.0) | Freqs: (0.5, 1.0, 1.5, 2.0, 1.2)
SSIM: 0.426501 | Omega: 0.99 | Scales: (2.0, 6.0, 7.0, 9.0) | Freqs: (0.5, 1.0, 1.5, 2.0, 1.2)
SSIM: 0.426491 | Omega: 0.99 | Scales: (3.0, 6.0, 7.0, 9.0) | Freqs: (0.5, 1.0, 1.5, 2.0, 1.2)
SSIM: 0.426487 | Omega: 0.99 | Scales: (2.0, 4.0, 8.0, 9.0) | Freqs: (0.5, 1.0, 1.5, 2.0, 1.2)
SSIM: 0.426480 | Omega: 0.99 | Scales: (3.0, 5.0, 7.0, 10.0) | Freqs: (0.5, 1.0, 1.5, 2.0, 1.2)
SSIM: 0.426471 | Omega: 0.99 | Scales: (2.0, 3.0, 8.0, 9.0) | Freqs: (0.5, 1.0, 1.5, 2.0, 1.2)
SSIM: 0.426468 | Omega: 0.99 | Scales: (2.0, 3.0, 7.0, 10.0) | Freqs: (0.5, 1.0, 1.5, 2.0, 1.2)
SSIM: 0.426467 | Omega: 0.99 | Scales: (2.0, 4.0, 7.0, 10.0) | Freqs: (0.5, 1.0, 1.5, 2.0, 1.2)
SSIM: 0.426451 | Omega: 0.99 | Scales: (3.0, 4.0, 7.0, 10.0) | Freqs: (0.5, 1.0, 1.5, 2.0, 1.2)
SSIM: 0.426449 | Omega: 0.99 | Scales: (4.0, 5.0, 8.0, 9.0) | Freqs: (0.5, 1.0, 1.5, 2.0, 1.2)
SSIM: 0.426440 | Omega: 0.99 | Scales: (3.0, 4.0, 8.0, 9.0) | Freqs: (0.5, 1.0, 1.5, 2.0, 1.2)
SSIM: 0.426438 | Omega: 0.99 | Scales: (4.0, 5.0, 7.0, 10.0) | Freqs: (0.5, 1.0, 1.5, 2.0, 1.2)
SSIM: 0.426406 | Omega: 0.99 | Scales: (2.0, 5.0, 7.0, 9.0) | Freqs: (0.5, 1.0, 1.5, 2.0, 1.2)
SSIM: 0.426405 | Omega: 0.99 | Scales: (3.0, 5.0, 7.0, 9.0) | Freqs: (0.5, 1.0, 1.5, 2.0, 1.2)
SSIM: 0.426400 | Omega: 0.99 | Scales: (2.0, 6.0, 7.0, 8.0) | Freqs: (0.5, 1.0, 1.5, 2.0, 1.2)
SSIM: 0.426383 | Omega: 0.99 | Scales: (2.0, 3.0, 7.0, 9.0) | Freqs: (0.5, 1.0, 1.5, 2.0, 1.2)
SSIM: 0.426380 | Omega: 0.99 | Scales: (3.0, 5.0, 6.0, 10.0) | Freqs: (0.5, 1.0, 1.5, 2.0, 1.2)
SSIM: 0.426372 | Omega: 0.99 | Scales: (2.0, 4.0, 7.0, 9.0) | Freqs: (0.5, 1.0, 1.5, 2.0, 1.2)
SSIM: 0.426359 | Omega: 0.99 | Scales: (2.0, 5.0, 6.0, 10.0) | Freqs: (0.5, 1.0, 1.5, 2.0, 1.2)
SSIM: 0.426358 | Omega: 0.99 | Scales: (3.0, 6.0, 7.0, 8.0) | Freqs: (0.5, 1.0, 1.5, 2.0, 1.2)
SSIM: 0.426357 | Omega: 0.99 | Scales: (2.0, 4.0, 6.0, 10.0) | Freqs: (0.5, 1.0, 1.5, 2.0, 1.2)
SSIM: 0.426352 | Omega: 0.99 | Scales: (4.0, 5.0, 6.0, 10.0) | Freqs: (0.5, 1.0, 1.5, 2.0, 1.2)
SSIM: 0.426347 | Omega: 0.99 | Scales: (2.0, 3.0, 6.0, 10.0) | Freqs: (0.5, 1.0, 1.5, 2.0, 1.2)
SSIM: 0.426345 | Omega: 0.99 | Scales: (4.0, 5.0, 7.0, 9.0) | Freqs: (0.5, 1.0, 1.5, 2.0, 1.2)
SSIM: 0.426343 | Omega: 0.99 | Scales: (3.0, 4.0, 7.0, 9.0) | Freqs: (0.5, 1.0, 1.5, 2.0, 1.2)
SSIM: 0.426327 | Omega: 0.99 | Scales: (3.0, 4.0, 6.0, 10.0) | Freqs: (0.5, 1.0, 1.5, 2.0, 1.2)
SSIM: 0.426288 | Omega: 0.99 | Scales: (2.0, 5.0, 7.0, 8.0) | Freqs: (0.5, 1.0, 1.5, 2.0, 1.2)
SSIM: 0.426274 | Omega: 0.99 | Scales: (2.0, 5.0, 6.0, 9.0) | Freqs: (0.5, 1.0, 1.5, 2.0, 1.2)
SSIM: 0.426251 | Omega: 0.99 | Scales: (3.0, 5.0, 7.0, 8.0) | Freqs: (0.5, 1.0, 1.5, 2.0, 1.2)
SSIM: 0.426249 | Omega: 0.99 | Scales: (2.0, 3.0, 7.0, 8.0) | Freqs: (0.5, 1.0, 1.5, 2.0, 1.2)
SSIM: 0.426245 | Omega: 0.99 | Scales: (4.0, 5.0, 7.0, 8.0) | Freqs: (0.5, 1.0, 1.5, 2.0, 1.2)
SSIM: 0.426244 | Omega: 0.99 | Scales: (3.0, 5.0, 6.0, 9.0) | Freqs: (0.5, 1.0, 1.5, 2.0, 1.2)
SSIM: 0.426244 | Omega: 0.99 | Scales: (4.0, 5.0, 6.0, 9.0) | Freqs: (0.5, 1.0, 1.5, 2.0, 1.2)
SSIM: 0.426239 | Omega: 0.99 | Scales: (3.0, 4.0, 7.0, 8.0) | Freqs: (0.5, 1.0, 1.5, 2.0, 1.2)
SSIM: 0.426239 | Omega: 0.99 | Scales: (2.0, 4.0, 7.0, 8.0) | Freqs: (0.5, 1.0, 1.5, 2.0, 1.2)
SSIM: 0.426236 | Omega: 0.99 | Scales: (2.0, 3.0, 6.0, 9.0) | Freqs: (0.5, 1.0, 1.5, 2.0, 1.2)
SSIM: 0.426226 | Omega: 0.99 | Scales: (3.0, 4.0, 6.0, 9.0) | Freqs: (0.5, 1.0, 1.5, 2.0, 1.2)
SSIM: 0.426211 | Omega: 0.99 | Scales: (2.0, 4.0, 5.0, 10.0) | Freqs: (0.5, 1.0, 1.5, 2.0, 1.2)
SSIM: 0.426201 | Omega: 0.99 | Scales: (3.0, 4.0, 5.0, 10.0) | Freqs: (0.5, 1.0, 1.5, 2.0, 1.2)
SSIM: 0.426190 | Omega: 0.99 | Scales: (2.0, 4.0, 6.0, 9.0) | Freqs: (0.5, 1.0, 1.5, 2.0, 1.2)
SSIM: 0.426180 | Omega: 0.99 | Scales: (2.0, 5.0, 6.0, 8.0) | Freqs: (0.5, 1.0, 1.5, 2.0, 1.2)
SSIM: 0.426174 | Omega: 0.99 | Scales: (2.0, 3.0, 5.0, 10.0) | Freqs: (0.5, 1.0, 1.5, 2.0, 1.2)
SSIM: 0.426149 | Omega: 0.99 | Scales: (3.0, 5.0, 6.0, 8.0) | Freqs: (0.5, 1.0, 1.5, 2.0, 1.2)
SSIM: 0.426129 | Omega: 0.99 | Scales: (2.0, 3.0, 4.0, 10.0) | Freqs: (0.5, 1.0, 1.5, 2.0, 1.2)
SSIM: 0.426113 | Omega: 0.99 | Scales: (4.0, 5.0, 6.0, 8.0) | Freqs: (0.5, 1.0, 1.5, 2.0, 1.2)
SSIM: 0.426085 | Omega: 0.99 | Scales: (2.0, 3.0, 5.0, 9.0) | Freqs: (0.5, 1.0, 1.5, 2.0, 1.2)
SSIM: 0.426059 | Omega: 0.99 | Scales: (3.0, 4.0, 5.0, 9.0) | Freqs: (0.5, 1.0, 1.5, 2.0, 1.2)
SSIM: 0.426059 | Omega: 0.99 | Scales: (2.0, 4.0, 6.0, 8.0) | Freqs: (0.5, 1.0, 1.5, 2.0, 1.2)
SSIM: 0.426057 | Omega: 0.99 | Scales: (2.0, 3.0, 6.0, 8.0) | Freqs: (0.5, 1.0, 1.5, 2.0, 1.2)
SSIM: 0.426044 | Omega: 0.99 | Scales: (3.0, 4.0, 6.0, 8.0) | Freqs: (0.5, 1.0, 1.5, 2.0, 1.2)
SSIM: 0.426043 | Omega: 0.99 | Scales: (2.0, 4.0, 5.0, 9.0) | Freqs: (0.5, 1.0, 1.5, 2.0, 1.2)
SSIM: 0.425990 | Omega: 0.99 | Scales: (2.0, 3.0, 4.0, 9.0) | Freqs: (0.5, 1.0, 1.5, 2.0, 1.2)
SSIM: 0.425949 | Omega: 0.99 | Scales: (2.0, 5.0, 6.0, 7.0) | Freqs: (0.5, 1.0, 1.5, 2.0, 1.2)
SSIM: 0.425941 | Omega: 0.99 | Scales: (2.0, 4.0, 5.0, 8.0) | Freqs: (0.5, 1.0, 1.5, 2.0, 1.2)
SSIM: 0.425939 | Omega: 0.99 | Scales: (2.0, 3.0, 5.0, 8.0) | Freqs: (0.5, 1.0, 1.5, 2.0, 1.2)
SSIM: 0.425908 | Omega: 0.99 | Scales: (3.0, 5.0, 6.0, 7.0) | Freqs: (0.5, 1.0, 1.5, 2.0, 1.2)
SSIM: 0.425906 | Omega: 0.99 | Scales: (2.0, 4.0, 6.0, 7.0) | Freqs: (0.5, 1.0, 1.5, 2.0, 1.2)
SSIM: 0.425899 | Omega: 0.99 | Scales: (2.0, 3.0, 6.0, 7.0) | Freqs: (0.5, 1.0, 1.5, 2.0, 1.2)
SSIM: 0.425896 | Omega: 0.99 | Scales: (3.0, 4.0, 5.0, 8.0) | Freqs: (0.5, 1.0, 1.5, 2.0, 1.2)
SSIM: 0.425885 | Omega: 0.99 | Scales: (4.0, 5.0, 6.0, 7.0) | Freqs: (0.5, 1.0, 1.5, 2.0, 1.2)
SSIM: 0.425853 | Omega: 0.99 | Scales: (3.0, 4.0, 6.0, 7.0) | Freqs: (0.5, 1.0, 1.5, 2.0, 1.2)
SSIM: 0.425768 | Omega: 0.99 | Scales: (2.0, 3.0, 4.0, 8.0) | Freqs: (0.5, 1.0, 1.5, 2.0, 1.2)
SSIM: 0.425611 | Omega: 0.99 | Scales: (2.0, 4.0, 5.0, 7.0) | Freqs: (0.5, 1.0, 1.5, 2.0, 1.2)
SSIM: 0.425588 | Omega: 0.99 | Scales: (3.0, 4.0, 5.0, 7.0) | Freqs: (0.5, 1.0, 1.5, 2.0, 1.2)
SSIM: 0.425550 | Omega: 0.99 | Scales: (2.0, 3.0, 5.0, 7.0) | Freqs: (0.5, 1.0, 1.5, 2.0, 1.2)
SSIM: 0.425363 | Omega: 0.99 | Scales: (2.0, 3.0, 4.0, 7.0) | Freqs: (0.5, 1.0, 1.5, 2.0, 1.2)
SSIM: 0.425213 | Omega: 0.99 | Scales: (2.0, 4.0, 5.0, 6.0) | Freqs: (0.5, 1.0, 1.5, 2.0, 1.2)
SSIM: 0.425163 | Omega: 0.99 | Scales: (3.0, 4.0, 5.0, 6.0) | Freqs: (0.5, 1.0, 1.5, 2.0, 1.2)
SSIM: 0.425126 | Omega: 0.99 | Scales: (2.0, 3.0, 5.0, 6.0) | Freqs: (0.5, 1.0, 1.5, 2.0, 1.2)
SSIM: 0.424784 | Omega: 0.99 | Scales: (2.0, 3.0, 4.0, 6.0) | Freqs: (0.5, 1.0, 1.5, 2.0, 1.2)
SSIM: 0.424005 | Omega: 0.99 | Scales: (2.0, 3.0, 4.0, 5.0) | Freqs: (0.5, 1.0, 1.5, 2.0, 1.2)
